"Titre,Créateur,Sujet,Editeur,Type,Format,Identifiant,Source,Langue,Résumé,""Date de disponibilité"",""Date de publication"",""Importance matérielle"",""Couverture spatiale"",""Couverture temporelle"",Licence,""P35 has identified"",""P70 documents"",""P4 has time-span"",""P14 carried out by"",""P1 is identified by"",""P2 has type"""																																
"Rosporden (29). Coat Culoden : découverte de vestiges du bas Moyen Âge. rapport de diagnostic,""Roy, Eddie"",RAP03041,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03041,Service régional de l'archéologie de Bretagne,French,,,2014,1 vol. ( p.) : ill. en coul. "	 30 cm,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6431039 Rosporden,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03041,diagnostic préventif																															
"Belle-Isle-en-Terre (22). Le Dossen : découverte de vestiges de l'âge du bronze ancien et gallo-romains. rapport de diagnostic,""Roy, Eddie"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03015,,French,,Disponible,2014,1 vol. ( p.) : ill. en coul. "	 30 cm,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/6452189 Belle-Isle-en-Terre,,Owned by SRA Bretagne,,,,,RAP03015,diagnostic préventif																															
"Languidic (56). Aménagement de la zone d'activités du Refol, Site de Tal Hent Bras. rapport de diagnostic,""http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie"",,Conseil départemental du Morbihan,,,RAP03017,,French,,Disponible,2014,1 vol. ( p.) : ill. en coul. "	" 30 cm,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437281 Languidic,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie"",RAP03017,diagnostic préventif"																															
"Ercé-près-Liffré (35). ZAC du bocage de l'Illet, tranche 1 : un cercle funéraire du bronze final et un habitat enclos du haut Moyen Âge. rapport de fouille,""Ah Thon, Emmanuelle"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03013,,French,,Disponible,2014,1 vol. ( p.) : ill. en coul. "	" 30 cm,http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,""Ah Thon, Emmanuelle"",RAP03013,fouille préventive"																															
"Saint-Divy, Guipavas (29). Kerdalaün, Kerintin. rapport de diagnostic,""http://www.viaf.org/viaf/58608823 Pailler, Yvan"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2014,1 vol. ( p.) : ill. en coul. "	" 30 cm | Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/6448086 Guipavas | http://www.geonames.org/6613974 Saint-Divy,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/58608823 Pailler, Yvan"",RAP03030,diagnostic préventif"																															
Vannes (56). campen bernus : une ferme antique périurbaine à l'ouest de darioritum. rapport de fouille,SELEQUE Jenny,RAP03090,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03090,Service régional de l'archéologie de Bretagne,French,,,2014,1 vol. ( p.) : ill. en coul. 	 30 cm,http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03090,fouille préventive																															
"Quimper (29). 2 bis rue du Belvédère. Rapport de diagnostic,""Hamon, Anne-Louise"",RAP03126,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03126,Service régional de l'archéologie de Bretagne,French,,,2015,1 vol. ( p.) : ill. en coul. "	 30 cm,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03126,diagnostic préventif																															
"Carnac (56). 5 avenue du Rahic. Rapport de diagnostic,""Hinguant, Stéphan"",RAP03123,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03123,Service régional de l'archéologie de Bretagne,French,,,2015,1 vol. ( p.) : ill. en coul. "	 30 cm,http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6455179 Carnac,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03123,diagnostic préventif																															
"Le réseau viaire de la Bretagne de la protohistoire au Moyen Âge. De l'estuaire de la Rance à La presqu'île de Crozon. rapport de prospection thématique,""http://www.viaf.org/viaf/14813704 Provost, Alain"",,Service régional de l'archéologie de Bretagne,,,,,French,,Disponible,2010,1 vol. ( p.) : ill. en coul. "	" 30 cm | Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/3018471 Finistère,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/14813704 Provost, Alain"",RAP02613,prospection thématique"																															
"Les voies anciennes de Bretagne de la protohistoire au Moyen Âge. Finistère sud et Morbihan. rapport de prospection inventaire,""http://www.viaf.org/viaf/14813704 Provost, Alain"",RAP02729,Service régional de l'archéologie de Bretagne,Online PDF file,,054026,Service régional de l'archéologie de Bretagne,French,,Disponible,2011,33.9 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan,https://ark.frantiq.fr/ark:/26678/pcrtlaEjZ1EQHL Gallo-romains | https://ark.frantiq.fr/ark:/26678/pcrtAQyKm9qosx époque médiévale | https://ark.frantiq.fr/ark:/26678/pcrtW9SpIgIk7Q âge du Fer,Owned by SRA Bretagne,,https://ark.frantiq.fr/ark:/26678/pcrt43czK1VuWx voie romaine | https://ark.frantiq.fr/ark:/26678/pcrt1eKrSANesO voie | https://ark.frantiq.fr/ark:/26678/pcrt9tOSfBmNuc route | https://ark.frantiq.fr/ark:/26678/pcrthtw9KdIqHy chemin,,Service régional de l'archéologie de Bretagne,RAP02729,prospection thématique																															
"Gévezé (35). La Croix du Vivier : une occupation diachronique des coteaux nord d'une vallée humide. Rapport de diagnostic,""Hamon, Anne-Louise"",RAP03125,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03125,Service régional de l'archéologie de Bretagne,French,,,2015,1 vol. ( p.) : ill. en coul. "	 30 cm,http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6432706 Gévezé,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03125,diagnostic préventif																															
"Le Rheu (35). La Trémelière, ZAC La Trémelière tranche 2. Rapport de diagnostic,""http://www.viaf.org/viaf/191703461 Aubry, Laurent"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03122,,French,,Disponible,2015,1 vol. ( p.) : ill. en coul. "	" 30 cm,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6455903 Le Rheu,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/191703461 Aubry, Laurent"",RAP03122,diagnostic préventif"																															
"Saint-Pierre-Quiberon (56). Kerbougnec, rue des Menhirs. Rapport de diagnostic,""http://www.viaf.org/viaf/942160483818404991920 Brisotto, Vérane"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03124,,French,,Disponible,2015,1 vol. (p.) : ill. en coul."	" 30 cm. | 2.3 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437392 Saint-Pierre-Quiberon,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/942160483818404991920 Brisotto, Vérane"",RAP03124,diagnostic préventif"																															
"Vern-sur-Seiche (35). Les Hauts de Gaudon. Rapport de diagnostic,""Aubry, Laurent"",RAP03114,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03114,Service régional de l'archéologie de Bretagne,French,,,2015,1 vol. ( p.) : ill. en coul. "	 30 cm,http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6432889 Vern-sur-Seiche,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03114,diagnostic préventif																															
"Fouesnant (29). Hent Menez Kerzon. Rapport de diagnostic,""Cavanillas, Julie"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,055164,,French,,Disponible,2017,1 vol. ( 43 p.) : ill. en coul. "	" 30 cm. | 4.7 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/6455033 Fouesnant,,Owned by SRA Bretagne,,,02/10/2017 au 03/10/2017,""Cavanillas, Julie"",RAP03481,diagnostic préventif"																															
"Plonéour-Lanvern (29). Kersulec : indices du néolithique moyen et occupations de l'âge du bronze ancien en bord de vallée. rapport de diagnostic,""http://www.viaf.org/viaf/58608823 Pailler, Yvan"",RAP03098,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03098,Service régional de l'archéologie de Bretagne,French,,,2015,1 vol. ( p.) : ill. en coul. "	" 30 cm,http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6430989 Plonéour-Lanvern,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/58608823 Pailler, Yvan"",RAP03098,diagnostic préventif"																															
"Pont-l'Abbé (29). Bringall Huella. Rapport de diagnostic archéologique,""Le Gall, Valérie"",RAP03480,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03480,Service régional de l'archéologie de Bretagne,French,,,2017,""8,9 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2986158 Pont-l'Abbé,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03480,diagnostic préventif"																															
"Servon-sur-Vilaine (35). ZAC du Gué. Rapport de diagnostic,""Aubry, Laurent"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2017,""1 vol. (p.) : ill. en coul."	" 30 cm. | 8,3 Mo"",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432872 Servon-sur-Vilaine,,Owned by SRA Bretagne,,,,""Aubry, Laurent"",RAP03478,diagnostic préventif"																															
"Theix-Noyalo (29). ZAC de Brestivan. Rapport de diagnostic,""Escats, Yoann"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03479,,French,,Disponible,2017,""31,1 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437403 Theix-Noyalo | http://www.geonames.org/3018471 Finistère,,Owned by SRA Bretagne,,,,""Escats, Yoann"",RAP03479,diagnostic préventif"																															
"Rennes (35). 68 rue de Saint-Malo. Rapport de diagnostic, 2017, 1, 33. 3490,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03490,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03490,Service régional de l'archéologie de Bretagne,French,,,2017,""4,2 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/2983990 Rennes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03490,diagnostic préventif"																															
"Monteneuf  (56). Inventaire, description et cartographie des blocs de la parcelle XC 102 ET 103 du site des Pierres Droites. Rapport intermédiaire de FP,TARDIEU Claire,RAP03482,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03482,Service régional de l'archéologie de Bretagne,French,,,2017,""15,1 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6437312 Monteneuf,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03482,prospection thématique"																															
"Vannes (56). Rue de Kerbiquette. Rapport de diagnostic,""Fouvez, Yannick"",RAP03486,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03486,Service régional de l'archéologie de Bretagne,French,,,2017,""6,4 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2970777 Vannes,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03486,diagnostic préventif"																															
"Pluzunet (22). Site de Quelven 2. Rapport de diagnostic,""Aubry, Laurent"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2017,1 vol. (p.) : ill. en coul."	 30 cm. | 8 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/6429096 Pluzunet,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03484,diagnostic préventif																															
"Pont-Scorff(56). Nenijo : une occupation diachronique du Néolithique moyen au Moyen Âge. Rapport de fouille,GOURMELON Marine,RAP03487,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03487,Service régional de l'archéologie de Bretagne,French,,,2017,""42,1 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03487,fouille préventive"																															
"Plomelin (29). La villa du Pérennou. Rapport de FP,""http://www.viaf.org/viaf/194705483 Arramond, Jean-Charles"",RAP03483,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03483,Service régional de l'archéologie de Bretagne,French,,,2017,""37,3 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03483,fouille programmée"																															
"Guipavas (29). ZAC de Lavollot Nord : évolution d'un terroir entre la Préhistoire et le Moyen Âge. Rapport de fouille,""Simier, Bastien"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03485,,French,,Disponible,2017,57 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3014213 Guipavas | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,""Simier, Bastien"",RAP03485,fouille préventive"																															
"Québriac (35). Les Landes de Tanouarn. Rapport de diagnostic,""http://www.viaf.org/viaf/46038290 Hinguant, Stéphan"",RAP03489,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,RAP03489,Service régional de l'archéologie de Bretagne,French,,,2017,""2,9 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432797 Québriac,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03489,diagnostic préventif"																															
"Port-Louis (56). Citadelle : diagnostic archéologique du bastion Desmouriers. Rapport de FP 2017,""http://www.viaf.org/viaf/103241710 Morelle, Nicolas"",,Laboratoire d'Archéologie Médiévale et Moderne en Méditerranée - LA3M - UMR 7298,,,,,French,,Disponible,2018,1 vol. (p.) : ill. en coul."	" 30 cm. | 9 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437350 Port-Louis,,Owned by SRA Bretagne,56 181 0001,,28/08/2017 au 03/09/2017,""Morelle, Nicolas"",RAP03539,fouille programmée"																															
"Quiberon (56). Beg er Vil : un habitat du Mésolithique sur le littoral du Morbihan. Rapport intermédiaire de FP,""Marchand, Grégor"",RAP03493,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03493,Service régional de l'archéologie de Bretagne,French,,,2017,""7,5 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6454342 Quiberon,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03493,fouille programmée"																															
"La Mézière (35). La Fontaine-La Beauvairie. Rapport de diagnostic,""Baudoin, Céline"",RAP03540,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03540,Service régional de l'archéologie de Bretagne,French,,,2018,9 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03540,diagnostic préventif																															
"Vannes (56). 15 avenue Édouard Herriot : un secteur de la nécropole antique de Vannes. Rapport de fouille,""http://www.viaf.org/viaf/11144928021854340055 Le Martret, Annaïg"",,EVEHA,,,054874,,French,""Le site du 15 avenue Édouard Herriot a livré les vestiges d'un secteur de la nécropole antique de Vannes-Darioritum, située le long de deux voies de circulation majeures et en bordure de la ville antique.Le caractère exceptionnel de ces découvertes pour la région doit être souligné. En plus d'avoir livré un ensemble de références pour l'étude du mobilier en verre, il constitue un apport exceptionnel pour la connaissance des pratiques funéraires."",Disponible,2017,""1 vol. (535 p.) : ill. en coul."	" 30 cm. | 76,7 Mo"",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/2970777 Vannes,https://ark.frantiq.fr/ark:/26678/pcrtH5r3FYBpwe Haut-Empire romain | https://ark.frantiq.fr/ark:/26678/pcrt0auHUwTKix Bas-Empire romain,Owned by SRA Bretagne,""56 260 0154, 56 260 0174"",https://ark.frantiq.fr/ark:/26678/pcrtsIm3RuNMGu nécropole | https://ark.frantiq.fr/ark:/26678/pcrtXk6sdvTjnE carrière (géologie) | https://ark.frantiq.fr/ark:/26678/pcrt4GqimUgoOq verre | https://ark.frantiq.fr/ark:/26678/pcrtPm7RMy8JDE bûcher | https://ark.frantiq.fr/ark:/26678/pcrttBIxHKUw54 incinération,2/11/2015 au 18/12/2015,""http://www.viaf.org/viaf/11144928021854340055 Le Martret, Annaïg"",RAP03492,fouille préventive"																															
"Noyal-Pontivy (56). ZAC de Kerguilloten : une occupation du 2nd âge du Fer à l'Antiquité. Rapport de fouille,""Barbeau, Sandrine"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2017,1 vol. (p.) : ill. en coul. "	" 30 cm. | 27.9 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437326 Noyal-Pontivy,,Owned by SRA Bretagne,,,,""Barbeau, Sandrine"",RAP03491,fouille préventive"																															
"Surzur (56). Trémoyec. Rapport de diagnostic,""Hamon, Anne-Louise"",RAP03587,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,,Service régional de l'archéologie de Bretagne,French,,,2018,""2,6 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/6454344 Surzur,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03587,diagnostic préventif"																															
"Locmaria (56). Le Bas-Laurent, camping des Grands-Sables. Rapport de diagnostic,""http://www.viaf.org/viaf/942160483818404991920 Brisotto, Vérane"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03543,,French,,Disponible,2018,1 vol. (p.) : ill. en coul."	" 30 cm. | 7.2 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6615240 Locmaria,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/942160483818404991920 Brisotto, Vérane"",RAP03543,diagnostic préventif"																															
"Rennes (35). 5 rue de Rohan. Rapport de diagnostic,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03488,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),Online PDF file,,,Service régional de l'archéologie de Bretagne,French,,,2017,""12,7 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/2983990 Rennes,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/224772560 Pouille, Dominique"",RAP03488,diagnostic préventif"																															
"De L'Oust et de la Vilaine (56) à la Pointe du Raz (29). Rapport de prospection archéologique diachronique,""Naas, Patrick"",RAP03586,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03586,Service régional de l'archéologie de Bretagne,French,,,2018,""81,9 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03586,prospection diachronique"																															
"Carhaix-Plouguer (29 ). 3-5 rue Mauviel. Rapport de diagnostic,""Battais, Rozenn"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,RAP03585,,French,,Disponible,2018,1 vol. (p.) : ill. en coul."	" 30 cm. | 10.8 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/6448052 Carhaix-Plouguer,,Owned by SRA Bretagne,,,,""Battais, Rozenn"",RAP03585,diagnostic préventif"																															
"Brest (29). Fontainte Margot tranche 3 : foyers à pierres chauffées, occupation de l'âge du Bronze, nécropole à enclos funéraires gallo-romains, parcellaire napoléonien et vestiges de la Seconde guerre mondiale,""http://www.viaf.org/viaf/198932640 Fily, Muriel, 1981-"",,Conseil Départemental du Finistère. Service départemental de l’Archéologie,,,RAP03541,,French,,Disponible,2018,""16,2 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030300 Brest,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/198932640 Fily, Muriel, 1981-"",RAP03541,diagnostic préventif"																															
"Laillé (35). Mérol. Rapport de diagnostic,""Levan, Mélanie"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,Service régional de l'archéologie de Bretagne,French,,,2018,1 vol. (p.) : ill. en coul."	 30 cm. | 9.9 Mo,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432719 Laillé,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03542,diagnostic préventif																															
"Trédion (56). Nécropole mégalithique de Coëby. Rapport de FP 2018,""http://www.viaf.org/viaf/9995140 Gouézin, Philippe"",,Service régional de l'archéologie de Bretagne,,,RAP03612,,French,,Disponible,2018,PDF File | 1 vol. (p.) : ill. en coul."	" 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/2991879 Morbihan | http://www.geonames.org/6437404 Trédion,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/9995140 Gouézin, Philippe"",RAP03612,fouille programmée"																															
"Saint-Hélen (22). Les Domaines. Rapport de diagnostic,""http://www.viaf.org/viaf/46038290 Hinguant, Stéphan"",RAP03591,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03591,Service régional de l'archéologie de Bretagne,French,,,2018,""3,1 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/2979595 Saint-Hélen | http://www.geonames.org/3023414 Côtes-d'Armor | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03591,diagnostic préventif"																															
"Brest (29). Fort du Questel,""http://www.viaf.org/viaf/300058042 Beuchet, Laurent"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,055409,,French,""Les 6 tranchées de reconnaissance, couvrant plus de 12% de l’emprise du projet, ont mis au jour les vestiges très arasés d’un système parcellaire ancien mais non daté, ainsi que des perturbations et des aménagements attribuables à l’occupation du fort durant la seconde Guerre Mondiale."",Disponible,2018,""1 vol. (32 p.) : ill. en coul."	" 30 cm. | 2,8 Mo"",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030300 Brest,,Owned by SRA Bretagne,,,18 et 19 juin 2018,""http://www.viaf.org/viaf/300058042 Beuchet, Laurent"",RAP03590,diagnostic préventif"																															
"Saint-Lunaire (35). Rue des Myosotis. Diagnostic archéologique près du site mégalithique de Plate-Roche. Rapport de diagnostic,""http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra"",RAP03592,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03592,Service régional de l'archéologie de Bretagne,French,,,2018,2 Mo | 1 vol. (p.) : ill. en coul."	 30 cm.,http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6432845 Saint-Lunaire,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03592,diagnostic préventif																															
"Douarnenez (29). 42 route de Quimper. Rapport de diagnostic,""Leroux, Gilles"",RAP03588,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03588,Service régional de l'archéologie de Bretagne,French,,,2018,""3,3 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3018471 Finistère | http://www.geonames.org/3030288 Bretagne,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03588,diagnostic préventif"																															
"Douarnenez (29). Menez Peulven. Rapport de diagnostic archéologique,DIEU Yoann,RAP03622,Service régional de l'archéologie de Bretagne,Online PDF file,,RAP03622,Service régional de l'archéologie de Bretagne,French,,,2018,""2,4 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3018471 Finistère,,Owned by SRA Bretagne,,,,Service régional de l'archéologie de Bretagne,RAP03622,diagnostic préventif"																															
"Cintré (35). ZAC du Moulin à vent Tranche 2a. Rapport de diagnostic,""http://www.viaf.org/viaf/8490149719122411130009 Bourne, Stéphane"",,INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France),,,,,French,,Disponible,2018,""5,9 Mo | 1 vol. (p.) : ill. en coul."	" 30 cm."",http://www.geonames.org/3030288 Bretagne | http://www.geonames.org/3012849 Ille-et-Vilaine | http://www.geonames.org/6448556 Cintré,,Owned by SRA Bretagne,,,,""http://www.viaf.org/viaf/8490149719122411130009 Bourne, Stéphane"",RAP03624,diagnostic préventif"																															
